Threads, n, iteration, time
1, 100, 0, 23
2, 100, 0, 513
3, 100, 0, 390
4, 100, 0, 205
6, 100, 0, 4708
8, 100, 0, 32721
1, 500, 0, 231
2, 500, 0, 614
3, 500, 0, 1492
4, 500, 0, 567
6, 500, 0, 529
8, 500, 0, 3322
1, 1000, 0, 750
2, 1000, 0, 2874
3, 1000, 0, 1381
4, 1000, 0, 1238
6, 1000, 0, 1322
8, 1000, 0, 37177
1, 2000, 0, 2378
2, 2000, 0, 4174
3, 2000, 0, 3312
4, 2000, 0, 3320
6, 2000, 0, 3310
8, 2000, 0, 3359
1, 5000, 0, 13601
2, 5000, 0, 19900
3, 5000, 0, 20774
4, 5000, 0, 24126
6, 5000, 0, 14131
8, 5000, 0, 14672
1, 10000, 0, 54059
2, 10000, 0, 91119
3, 10000, 0, 91306
4, 10000, 0, 67485
6, 10000, 0, 69504
8, 10000, 0, 108856
1, 100, 1, 7
2, 100, 1, 80
3, 100, 1, 348
4, 100, 1, 138
6, 100, 1, 199
8, 100, 1, 133
1, 500, 1, 202
2, 500, 1, 811
3, 500, 1, 1736
4, 500, 1, 685
6, 500, 1, 1182
8, 500, 1, 1621
1, 1000, 1, 814
2, 1000, 1, 1498
3, 1000, 1, 3594
4, 1000, 1, 1372
6, 1000, 1, 1372
8, 1000, 1, 1657
1, 2000, 1, 2483
2, 2000, 1, 3929
3, 2000, 1, 3204
4, 2000, 1, 3339
6, 2000, 1, 4073
8, 2000, 1, 81652
1, 5000, 1, 18462
2, 5000, 1, 21472
3, 5000, 1, 16132
4, 5000, 1, 13769
6, 5000, 1, 14133
8, 5000, 1, 13881
1, 10000, 1, 57002
2, 10000, 1, 74843
3, 10000, 1, 59665
4, 10000, 1, 61380
6, 10000, 1, 48151
8, 10000, 1, 64804
1, 100, 2, 7
2, 100, 2, 70
3, 100, 2, 98
4, 100, 2, 82
6, 100, 2, 92
8, 100, 2, 96
1, 500, 2, 448
2, 500, 2, 540
3, 500, 2, 1044
4, 500, 2, 536
6, 500, 2, 527
8, 500, 2, 1432
1, 1000, 2, 816
2, 1000, 2, 1293
3, 1000, 2, 1252
4, 1000, 2, 1498
6, 1000, 2, 1948
8, 1000, 2, 48260
1, 2000, 2, 2348
2, 2000, 2, 3868
3, 2000, 2, 3311
4, 2000, 2, 3364
6, 2000, 2, 3216
8, 2000, 2, 3230
1, 5000, 2, 13923
2, 5000, 2, 20875
3, 5000, 2, 15675
4, 5000, 2, 13554
6, 5000, 2, 14221
8, 5000, 2, 14711
1, 10000, 2, 53544
2, 10000, 2, 80888
3, 10000, 2, 56538
4, 10000, 2, 57124
6, 10000, 2, 48456
8, 10000, 2, 46651
1, 100, 3, 5
2, 100, 3, 168
3, 100, 3, 90
4, 100, 3, 70
6, 100, 3, 90
8, 100, 3, 126
1, 500, 3, 230
2, 500, 3, 609
3, 500, 3, 541
4, 500, 3, 1004
6, 500, 3, 552
8, 500, 3, 538
1, 1000, 3, 2547
2, 1000, 3, 2849
3, 1000, 3, 1248
4, 1000, 3, 17038
6, 1000, 3, 2948
8, 1000, 3, 1400
1, 2000, 3, 2229
2, 2000, 3, 5326
3, 2000, 3, 3934
4, 2000, 3, 3518
6, 2000, 3, 3354
8, 2000, 3, 3302
1, 5000, 3, 14047
2, 5000, 3, 20661
3, 5000, 3, 15477
4, 5000, 3, 13256
6, 5000, 3, 14307
8, 5000, 3, 17127
1, 10000, 3, 56686
2, 10000, 3, 77504
3, 10000, 3, 56666
4, 10000, 3, 57683
6, 10000, 3, 47954
8, 10000, 3, 153999
1, 100, 4, 5
2, 100, 4, 186
3, 100, 4, 97
4, 100, 4, 73
6, 100, 4, 91
8, 100, 4, 141
1, 500, 4, 219
2, 500, 4, 652
3, 500, 4, 543
4, 500, 4, 597
6, 500, 4, 1240
8, 500, 4, 5604
1, 1000, 4, 2882
2, 1000, 4, 2600
3, 1000, 4, 1305
4, 1000, 4, 1322
6, 1000, 4, 1358
8, 1000, 4, 59703
1, 2000, 4, 4880
